1,ATM
2,Branch
3,Branch
4,POS Terminal
5,ATM
6,Online
7,Branch
8,Phone Banking
9,Phone Banking
10,Mobile App
11,Mobile App
12,Mobile App
13,Mobile App
14,Online
15,Mobile App
16,Branch
17,Online
18,Phone Banking
19,Mobile App
20,Mobile App
21,Mobile App
22,Phone Banking
23,Phone Banking
24,Mobile App
25,Online
26,ATM
27,POS Terminal
28,ATM
29,Online
30,Branch
31,POS Terminal
32,Branch
33,ATM
34,Phone Banking
35,ATM
36,Online
37,Phone Banking
38,POS Terminal
39,ATM
40,Mobile App
41,Online
42,Mobile App
43,POS Terminal
44,POS Terminal
45,POS Terminal
46,POS Terminal
47,ATM
48,Branch
49,POS Terminal
50,ATM
51,Phone Banking
52,Phone Banking
53,Branch
54,Branch
55,Online
56,Phone Banking
57,Branch
58,POS Terminal
59,Branch
60,ATM
61,Branch
62,Branch
63,Branch
64,ATM
65,POS Terminal
66,Online
67,Online
68,Online
69,Online
70,Online
71,Branch
72,Online
73,ATM
74,Branch
75,Phone Banking
76,Branch
77,Branch
78,POS Terminal
79,Online
80,Branch
81,Mobile App
82,POS Terminal
83,Mobile App
84,POS Terminal
85,Branch
86,Phone Banking
87,Online
88,Branch
89,Phone Banking
90,Phone Banking
91,POS Terminal
92,POS Terminal
93,Phone Banking
94,Online
95,Online
96,Branch
97,Online
98,ATM
99,Online
100,Phone Banking
101,Branch
102,Branch
103,POS Terminal
104,ATM
105,ATM
106,Online
107,POS Terminal
108,Branch
109,Online
110,Branch
111,Branch
112,Branch
113,POS Terminal
114,POS Terminal
115,Mobile App
116,Online
117,Online
118,ATM
119,ATM
120,POS Terminal
121,Online
122,Phone Banking
123,ATM
124,Phone Banking
125,Branch
126,Phone Banking
127,Mobile App
128,POS Terminal
129,Phone Banking
130,ATM
131,Phone Banking
132,Mobile App
133,Branch
134,ATM
135,Online
136,ATM
137,POS Terminal
138,Phone Banking
139,Phone Banking
140,POS Terminal
141,ATM
142,Online
143,Online
144,POS Terminal
145,Phone Banking
146,POS Terminal
147,POS Terminal
148,POS Terminal
149,Branch
150,Online
151,ATM
152,POS Terminal
153,Online
154,ATM
155,ATM
156,POS Terminal
157,Online
158,POS Terminal
159,Phone Banking
160,Branch
161,Online
162,Phone Banking
163,ATM
164,Phone Banking
165,Online
166,POS Terminal
167,Online
168,POS Terminal
169,ATM
170,Mobile App
